Attendance,Previous qualification,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Average Grade,Unemployment rate,Inflation rate,GDP,Target
1,16,13,27,10,9,1,0,1,0,1,22,0,14,8.9,1.4,3.51,0
1,14,1,14,5,5,1,1,0,1,0,22,0,11,8.9,1.4,3.51,1
1,16,25,14,4,6,1,0,0,0,1,22,0,12,8.9,1.4,3.51,0
1,1,3,1,4,5,0,0,0,1,0,22,0,13,8.9,1.4,3.51,0
0,16,13,27,6,10,0,0,0,0,0,22,0,11,8.9,1.4,3.51,1
1,16,1,1,10,5,1,0,1,1,1,22,0,13,8.9,1.4,3.51,1
1,1,1,14,4,4,1,0,1,0,0,22,0,14,8.9,1.4,3.51,0
1,1,3,3,3,9,1,0,1,0,0,22,0,15,8.9,1.4,3.51,0
0,1,28,30,3,3,0,0,1,1,0,22,0,0,8.9,1.4,3.51,1
1,16,1,14,10,10,1,0,0,1,1,22,0,13,8.9,1.4,3.51,0
1,16,1,14,5,6,0,0,1,0,1,22,0,13,8.9,1.4,3.51,0
1,1,1,1,10,10,1,0,1,1,0,22,0,11,8.9,1.4,3.51,0
1,16,1,1,5,8,1,0,1,0,1,21,0,11,8.9,1.4,3.51,0
1,1,13,1,10,10,1,0,0,0,0,21,1,14,8.9,1.4,3.51,0
1,16,23,28,10,10,0,0,1,0,0,21,0,13,8.9,1.4,3.51,1
1,1,23,14,29,39,1,0,1,0,1,21,0,13,8.9,1.4,3.51,0
1,16,3,28,20,30,0,0,1,1,0,21,0,12,8.9,1.4,3.51,0
1,1,3,2,5,3,1,0,1,0,0,21,0,13,8.9,1.4,3.51,1
1,14,4,1,3,9,0,0,1,1,0,21,0,13,8.9,1.4,3.51,0
1,16,22,27,10,11,1,0,1,0,0,21,0,13,8.9,1.4,3.51,0
1,1,5,1,3,11,1,0,1,0,0,21,0,12,8.9,1.4,3.51,0
0,1,13,28,6,8,0,0,1,0,0,21,0,12,8.9,1.4,3.51,0
1,1,23,27,10,8,1,0,1,0,1,21,0,13,8.9,1.4,3.51,0
1,16,13,28,10,10,0,1,0,0,0,21,0,13,8.9,1.4,3.51,1
1,16,1,1,5,4,1,1,1,0,0,21,0,13,8.9,1.4,3.51,0
1,16,13,27,4,7,1,1,1,0,0,21,0,12,8.9,1.4,3.51,0
1,16,1,14,21,37,1,0,1,0,0,21,0,12,8.9,1.4,3.51,0
1,1,3,14,3,9,1,0,1,1,0,21,0,12,8.9,1.4,3.51,0
1,1,13,28,10,8,1,0,1,0,1,21,0,13,8.9,1.4,3.51,0
1,1,2,1,4,4,1,0,1,1,0,21,0,13,8.9,1.4,3.51,0
1,1,3,1,3,7,1,0,1,1,1,21,0,15,8.9,1.4,3.51,0
1,1,3,14,5,8,1,0,1,0,0,21,0,0,8.9,1.4,3.51,1
1,16,1,1,7,7,0,0,1,1,1,21,0,13,8.9,1.4,3.51,0
1,16,3,1,3,9,1,0,1,0,0,21,0,14,8.9,1.4,3.51,0
1,1,23,14,10,10,1,0,1,0,0,21,0,13,8.9,1.4,3.51,0
1,1,1,14,6,6,1,0,1,0,0,21,0,0,8.9,1.4,3.51,1
1,1,22,27,10,9,1,0,1,1,0,21,0,13,8.9,1.4,3.51,0
1,1,23,1,10,10,0,1,0,1,0,21,0,11,8.9,1.4,3.51,1
1,16,1,14,4,9,1,0,1,1,1,21,0,14,8.9,1.4,3.51,0
1,1,13,1,10,10,0,1,1,1,0,21,0,12,8.9,1.4,3.51,0
1,1,1,1,3,10,0,0,1,1,0,21,1,14,8.9,1.4,3.51,0
1,16,1,28,10,7,0,0,1,1,0,21,0,12,8.9,1.4,3.51,0
0,16,13,27,19,44,1,1,1,0,1,21,0,13,8.9,1.4,3.51,0
1,16,1,1,22,29,0,1,1,0,0,21,0,11,8.9,1.4,3.51,0
1,1,3,3,3,3,1,0,1,0,0,21,0,15,8.9,1.4,3.51,0
1,1,1,1,5,3,0,1,0,0,1,21,0,12,8.9,1.4,3.51,1
1,1,13,27,10,10,1,0,1,0,1,21,0,15,8.9,1.4,3.51,0
1,1,3,14,3,5,1,0,1,0,0,21,0,12,8.9,1.4,3.51,0
1,1,23,28,10,10,1,0,1,1,0,21,0,13,8.9,1.4,3.51,1
1,1,1,14,20,41,1,1,1,0,0,21,0,13,8.9,1.4,3.51,0
1,1,13,14,6,5,1,1,1,1,0,21,0,12,8.9,1.4,3.51,0
1,1,22,27,10,10,1,0,1,0,1,21,0,14,8.9,1.4,3.51,1
1,1,22,27,10,10,1,0,1,1,1,21,0,13,8.9,1.4,3.51,0
1,1,1,1,10,8,0,1,1,1,0,21,1,12,8.9,1.4,3.51,0
1,1,27,3,16,22,1,0,1,1,0,20,0,13,8.9,1.4,3.51,0
1,1,23,14,10,11,0,0,1,0,1,20,0,13,8.9,1.4,3.51,0
1,16,3,4,3,2,0,0,1,0,0,20,0,12,8.9,1.4,3.51,0
1,1,1,28,10,8,1,0,1,0,1,20,0,12,8.9,1.4,3.51,0
1,1,22,27,29,41,1,1,1,0,1,20,0,13,8.9,1.4,3.51,0
1,1,23,28,8,8,1,1,0,0,0,20,0,0,8.9,1.4,3.51,1
1,1,1,14,9,9,1,0,1,1,0,20,0,13,8.9,1.4,3.51,1
1,1,1,3,5,8,1,0,1,0,0,20,0,0,8.9,1.4,3.51,1
1,1,1,1,29,44,0,0,1,1,0,20,0,13,8.9,1.4,3.51,0
1,1,1,1,4,4,1,0,1,0,0,20,0,14,8.9,1.4,3.51,0
1,1,22,28,29,28,1,0,1,0,1,20,0,12,8.9,1.4,3.51,0
1,1,1,28,32,35,1,1,1,0,1,20,0,12,8.9,1.4,3.51,0
1,1,4,10,3,10,1,0,1,1,0,20,1,16,8.9,1.4,3.51,0
1,1,1,14,5,6,0,0,1,1,0,20,0,13,8.9,1.4,3.51,0
1,16,1,3,5,3,1,0,0,0,1,20,0,14,8.9,1.4,3.51,0
1,1,2,3,3,5,0,0,1,1,0,20,1,13,8.9,1.4,3.51,0
1,16,23,28,10,10,1,1,1,1,0,20,0,12,8.9,1.4,3.51,0
1,1,3,1,3,10,1,1,0,1,0,20,0,0,8.9,1.4,3.51,1
1,1,13,14,29,36,1,1,1,0,0,20,0,12,8.9,1.4,3.51,0
1,1,23,28,29,43,0,1,1,0,1,20,0,12,8.9,1.4,3.51,0
1,1,22,14,10,9,1,0,1,1,1,20,0,14,8.9,1.4,3.51,0
1,1,2,14,3,5,1,0,1,0,1,20,0,13,8.9,1.4,3.51,0
1,1,13,27,8,10,0,0,1,0,0,20,0,0,8.9,1.4,3.51,1
1,1,22,28,10,10,1,1,1,1,1,20,0,0,8.9,1.4,3.51,1
1,1,1,28,3,9,1,0,1,1,1,20,0,14,8.9,1.4,3.51,0
1,1,1,1,29,36,1,0,1,1,0,20,1,12,8.9,1.4,3.51,0
1,1,27,1,3,8,0,1,1,0,0,20,1,13,8.9,1.4,3.51,0
1,1,1,28,20,43,1,0,1,1,0,20,0,11,8.9,1.4,3.51,0
1,1,13,28,10,9,0,0,1,1,0,20,0,11,8.9,1.4,3.51,0
1,1,13,14,5,5,1,0,1,1,1,20,0,12,8.9,1.4,3.51,0
1,1,1,1,5,5,1,0,0,0,0,20,0,0,8.9,1.4,3.51,1
1,16,1,14,5,9,1,0,1,0,0,20,0,14,8.9,1.4,3.51,0
1,1,1,1,10,11,1,0,1,0,1,20,0,14,8.9,1.4,3.51,0
1,1,1,1,10,10,1,0,1,0,1,20,1,12,8.9,1.4,3.51,0
1,1,3,2,5,6,0,0,1,1,1,20,0,12,8.9,1.4,3.51,0
1,1,1,1,10,11,0,0,1,1,0,20,0,13,8.9,1.4,3.51,0
1,16,13,27,5,10,1,0,1,0,0,20,0,14,8.9,1.4,3.51,0
1,1,13,14,8,4,1,0,1,1,1,20,0,14,8.9,1.4,3.51,0
1,1,1,28,10,10,1,0,1,1,1,20,0,13,8.9,1.4,3.51,0
1,1,1,1,5,5,1,0,1,1,0,20,0,14,8.9,1.4,3.51,0
1,1,1,1,5,3,1,0,1,1,0,20,0,0,8.9,1.4,3.51,1
1,1,1,34,5,3,1,1,0,1,0,20,0,13,8.9,1.4,3.51,1
1,1,3,10,3,10,1,0,1,1,0,20,0,17,8.9,1.4,3.51,0
1,1,13,28,6,6,1,1,1,0,0,20,0,13,8.9,1.4,3.51,0
1,1,3,14,14,29,0,0,1,0,0,20,1,6,8.9,1.4,3.51,0
1,1,22,27,6,6,1,0,1,0,1,20,0,15,8.9,1.4,3.51,0
1,16,1,14,5,8,0,0,1,0,0,20,0,16,8.9,1.4,3.51,0
1,1,1,14,10,9,1,1,1,1,1,19,0,14,8.9,1.4,3.51,0
1,1,1,14,5,9,1,0,1,0,0,19,0,14,8.9,1.4,3.51,0
1,1,23,27,4,7,1,0,1,0,1,19,0,12,8.9,1.4,3.51,1
1,1,23,27,29,46,1,0,1,0,1,19,0,14,8.9,1.4,3.51,0
1,1,1,14,9,8,1,0,1,0,0,19,0,14,8.9,1.4,3.51,0
1,1,13,28,10,7,1,1,1,0,1,19,0,11,8.9,1.4,3.51,0
1,1,1,3,4,8,1,1,1,1,0,19,0,12,8.9,1.4,3.51,0
1,1,3,3,3,3,0,0,1,1,0,19,0,13,8.9,1.4,3.51,0
1,1,1,27,10,10,1,0,1,0,1,19,0,14,8.9,1.4,3.51,0
1,1,13,14,6,6,1,0,1,0,0,19,0,13,8.9,1.4,3.51,0
1,1,3,3,4,5,1,0,1,1,0,19,0,12,8.9,1.4,3.51,1
1,1,3,3,10,10,0,1,0,0,0,19,1,0,8.9,1.4,3.51,1
1,1,23,28,29,36,1,0,1,0,0,19,0,13,8.9,1.4,3.51,0
1,1,13,27,10,10,0,0,1,0,1,19,0,12,8.9,1.4,3.51,0
1,1,10,28,10,6,0,0,1,0,1,19,0,14,8.9,1.4,3.51,0
1,1,1,2,11,11,1,0,1,0,0,19,0,12,8.9,1.4,3.51,0
1,1,1,14,4,5,0,0,1,1,0,19,0,6,8.9,1.4,3.51,1
1,1,3,14,4,10,1,0,0,1,0,19,0,0,8.9,1.4,3.51,1
1,1,23,28,29,39,1,1,1,0,0,19,0,12,8.9,1.4,3.51,0
1,1,13,28,10,8,1,0,1,0,1,19,0,12,8.9,1.4,3.51,0
1,1,1,3,21,31,0,1,1,0,0,19,1,12,8.9,1.4,3.51,0
1,1,13,1,5,2,1,0,1,1,0,19,0,14,8.9,1.4,3.51,0
1,1,13,1,10,5,0,1,1,0,0,19,1,6,8.9,1.4,3.51,0
1,1,23,27,10,9,1,0,1,1,1,19,0,13,8.9,1.4,3.51,0
1,1,4,4,4,4,0,1,1,1,0,19,0,12,8.9,1.4,3.51,0
1,1,3,28,15,36,1,1,1,1,0,19,0,12,8.9,1.4,3.51,0
1,1,2,27,10,10,1,1,0,0,0,19,0,0,8.9,1.4,3.51,1
1,1,13,28,10,10,0,0,1,0,0,19,0,0,8.9,1.4,3.51,1
1,1,1,10,6,9,1,0,1,1,0,19,0,12,8.9,1.4,3.51,0
1,1,1,27,2,11,1,0,1,0,0,19,0,12,8.9,1.4,3.51,0
1,1,23,14,10,10,1,0,1,0,0,19,0,12,8.9,1.4,3.51,0
1,1,23,14,23,44,1,0,1,0,0,19,0,15,8.9,1.4,3.51,0
1,1,3,1,3,5,0,0,1,1,0,19,0,12,8.9,1.4,3.51,0
1,1,1,1,5,8,1,0,1,1,0,19,0,14,8.9,1.4,3.51,0
1,1,3,1,5,5,1,0,1,1,0,19,0,12,8.9,1.4,3.51,0
1,1,1,1,10,7,0,0,1,1,0,19,0,12,8.9,1.4,3.51,0
1,1,1,3,5,4,1,0,1,0,0,19,0,13,8.9,1.4,3.51,1
1,1,13,1,5,4,0,0,1,0,0,19,0,0,8.9,1.4,3.51,1
1,1,1,28,8,8,1,0,1,1,0,19,0,14,8.9,1.4,3.51,0
1,1,13,14,5,5,1,0,1,0,0,19,0,13,8.9,1.4,3.51,1
1,1,1,14,5,8,1,0,1,0,1,19,0,13,8.9,1.4,3.51,0
1,1,13,28,4,11,1,0,1,0,0,19,0,12,8.9,1.4,3.51,0
1,1,25,1,3,5,0,0,1,0,1,19,0,14,8.9,1.4,3.51,0
1,1,1,3,8,4,1,1,1,0,1,19,0,13,8.9,1.4,3.51,0
1,1,1,14,10,10,1,0,1,0,1,19,0,13,8.9,1.4,3.51,0
1,1,3,3,4,4,1,0,0,0,0,19,0,13,8.9,1.4,3.51,0
1,1,25,28,3,10,1,0,1,0,0,19,0,14,8.9,1.4,3.51,0
1,1,13,28,6,9,0,0,1,0,1,19,0,14,8.9,1.4,3.51,0
1,1,1,14,2,7,1,0,1,1,0,19,0,13,8.9,1.4,3.51,0
1,1,1,28,5,7,0,1,0,1,0,19,0,11,8.9,1.4,3.51,1
1,1,1,28,4,9,1,0,1,0,1,19,0,13,8.9,1.4,3.51,0
1,1,1,3,3,3,0,0,1,1,0,19,0,11,8.9,1.4,3.51,0
1,1,1,1,10,6,1,0,1,0,1,19,0,13,8.9,1.4,3.51,0
1,1,22,28,10,9,1,0,1,0,0,19,0,12,8.9,1.4,3.51,1
1,1,3,1,5,5,1,0,1,0,0,19,0,13,8.9,1.4,3.51,0
1,1,1,14,10,10,1,0,1,1,1,19,0,13,8.9,1.4,3.51,1
1,1,3,1,3,4,1,0,1,1,0,19,0,14,8.9,1.4,3.51,0
1,1,22,28,4,4,0,1,1,1,0,19,0,13,8.9,1.4,3.51,0
1,1,1,14,22,29,1,0,1,1,0,19,0,12,8.9,1.4,3.51,0
1,1,22,28,10,10,1,1,0,1,0,19,0,12,8.9,1.4,3.51,0
1,1,13,14,10,9,0,0,0,0,1,19,0,14,8.9,1.4,3.51,0
1,1,3,14,3,4,1,0,1,0,0,19,0,12,8.9,1.4,3.51,0
1,1,13,14,10,10,1,1,1,0,1,19,1,13,8.9,1.4,3.51,0
1,1,1,3,5,5,1,0,1,0,1,19,0,14,8.9,1.4,3.51,0
1,1,13,27,10,8,1,0,1,1,1,19,0,13,8.9,1.4,3.51,1
1,1,13,28,6,8,1,0,1,1,0,19,0,0,8.9,1.4,3.51,1
1,1,13,14,10,10,1,0,1,1,0,19,0,11,8.9,1.4,3.51,1
1,1,13,28,10,9,1,0,1,1,1,19,0,13,8.9,1.4,3.51,0
1,1,23,28,29,44,0,1,1,0,1,19,0,13,8.9,1.4,3.51,0
1,1,13,14,8,8,1,0,1,0,0,19,0,10,8.9,1.4,3.51,0
1,1,13,28,10,10,1,0,1,0,0,19,0,12,8.9,1.4,3.51,0
1,1,13,28,6,6,1,0,1,0,0,19,0,12,8.9,1.4,3.51,0
1,1,3,3,3,6,1,0,1,0,0,19,0,13,8.9,1.4,3.51,1
1,1,1,3,2,5,1,0,1,1,0,19,0,15,8.9,1.4,3.51,1
1,1,28,3,15,21,1,1,1,1,0,19,0,13,8.9,1.4,3.51,0
1,1,1,1,10,8,1,0,0,0,0,19,1,15,8.9,1.4,3.51,0
1,1,1,14,5,6,1,0,1,0,0,19,0,13,8.9,1.4,3.51,0
1,1,1,14,5,8,1,1,0,0,0,18,0,13,8.9,1.4,3.51,1
1,1,1,1,5,7,0,0,0,1,0,18,0,12,8.9,1.4,3.51,0
1,1,22,1,6,6,1,0,1,0,0,18,0,14,8.9,1.4,3.51,0
1,1,1,28,5,8,1,0,1,0,1,18,0,12,8.9,1.4,3.51,0
1,1,1,1,20,39,0,1,1,0,1,18,0,15,8.9,1.4,3.51,0
1,1,23,27,8,8,1,0,1,0,1,18,0,14,8.9,1.4,3.51,1
1,1,1,1,5,5,0,0,1,0,0,18,0,12,8.9,1.4,3.51,0
1,1,13,14,29,29,1,0,1,0,1,18,0,12,8.9,1.4,3.51,0
1,1,3,3,4,4,1,0,0,0,1,18,0,13,8.9,1.4,3.51,0
1,1,1,3,4,4,0,0,1,0,1,18,0,11,8.9,1.4,3.51,0
1,1,13,1,10,11,1,0,1,1,1,18,0,13,8.9,1.4,3.51,0
1,1,13,28,10,10,1,0,1,1,0,18,0,13,8.9,1.4,3.51,0
1,1,22,27,10,8,1,0,1,0,1,18,0,14,8.9,1.4,3.51,0
1,1,1,1,10,6,0,1,0,1,0,18,1,12,8.9,1.4,3.51,1
1,1,23,28,8,8,1,0,1,0,1,18,0,15,8.9,1.4,3.51,0
1,1,3,1,3,6,1,0,1,0,0,18,0,13,8.9,1.4,3.51,0
1,1,23,28,6,9,1,0,1,0,1,18,0,15,8.9,1.4,3.51,0
1,1,1,3,5,4,1,0,1,0,0,18,0,14,8.9,1.4,3.51,0
1,1,3,1,4,5,1,0,1,1,0,18,0,12,8.9,1.4,3.51,0
1,1,1,14,32,45,0,1,1,1,0,18,0,15,8.9,1.4,3.51,0
1,1,1,14,10,4,1,1,0,1,0,18,0,11,8.9,1.4,3.51,0
1,1,13,28,10,10,1,0,0,0,0,18,0,0,8.9,1.4,3.51,1
1,1,13,14,6,9,0,0,1,0,0,18,0,0,8.9,1.4,3.51,1
1,1,10,14,5,6,0,0,1,0,1,18,0,12,8.9,1.4,3.51,0
1,1,1,3,5,5,1,0,1,0,0,18,0,14,8.9,1.4,3.51,0
1,1,3,1,15,31,0,0,1,1,0,18,0,7,8.9,1.4,3.51,1
1,1,23,28,10,8,1,0,1,0,1,18,0,12,8.9,1.4,3.51,0
1,1,3,14,6,6,0,0,1,0,0,18,0,14,8.9,1.4,3.51,0
1,1,1,14,5,4,1,0,1,1,1,18,0,12,8.9,1.4,3.51,1
1,1,23,27,4,4,0,0,1,1,0,18,0,14,8.9,1.4,3.51,0
1,1,23,14,8,8,1,0,1,1,0,18,0,13,8.9,1.4,3.51,0
1,1,1,1,4,4,0,0,0,1,1,18,0,14,8.9,1.4,3.51,0
1,1,13,1,5,5,1,0,1,1,1,18,0,12,8.9,1.4,3.51,0
1,1,3,1,4,11,0,0,1,1,0,18,0,0,8.9,1.4,3.51,1
1,1,1,14,5,8,0,0,0,1,1,18,0,12,8.9,1.4,3.51,0
1,1,23,28,10,6,0,0,0,0,1,18,0,12,8.9,1.4,3.51,0
1,1,13,14,4,4,1,0,1,0,0,18,0,11,8.9,1.4,3.51,0
1,1,1,1,10,5,1,0,1,0,1,18,0,13,8.9,1.4,3.51,0
1,1,23,28,10,7,1,0,1,0,0,18,0,13,8.9,1.4,3.51,0
1,1,1,28,6,7,1,0,1,0,1,18,0,12,8.9,1.4,3.51,0
1,1,13,14,8,8,1,0,1,0,1,18,0,12,8.9,1.4,3.51,0
1,1,4,1,5,11,1,0,1,0,0,18,0,12,8.9,1.4,3.51,0
1,1,13,1,8,11,1,0,1,0,1,18,0,13,8.9,1.4,3.51,0
1,1,3,3,3,3,1,1,0,0,0,18,0,13,8.9,1.4,3.51,0
1,1,23,14,10,6,1,0,1,0,0,18,0,12,8.9,1.4,3.51,0
1,1,3,3,3,3,0,0,1,1,0,18,0,14,8.9,1.4,3.51,0
1,1,1,28,4,4,0,0,1,1,1,18,0,14,8.9,1.4,3.51,0
1,1,23,14,10,6,0,0,1,1,0,18,0,13,8.9,1.4,3.51,0
1,1,23,28,6,6,1,0,1,0,1,18,0,13,8.9,1.4,3.51,0
